x,y,WeightedExpectedGoals,GoalProbability
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,26,0.000113872571974946,0.222
16,28,0.000210251802503308,0.222
16,30,0.000270645711781091,0.222
16,32,0.000242886511779932,0.222
16,34,0.000151966013228176,0.222
18,0,0,0
18,2,0,0
18,4,0,0
18,6,0,0
18,8,0,0
18,10,0,0
18,12,0,0
18,14,0,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0.0000853280439009702,0.089
18,24,0.000324138589494718,0.175
18,26,0.000858441116856076,0.222
18,28,0.0015850067231436,0.206
18,30,0.00204029296137075,0.199
18,32,0.00183102712817899,0.19
18,34,0.00114561278328255,0.179
18,36,0.000499714266173638,0.164
18,38,0.000151966013228176,0.147
20,0,0,0
20,2,0,0
20,4,0,0
20,6,0,0
20,8,0,0
20,10,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,18,0,0
20,20,0.0000823049342409268,0.008
20,22,0.000448460292235319,0.047
20,24,0.00170358161190535,0.132
20,26,0.00451172599923753,0.187
20,28,0.00833035126272056,0.195
20,30,0.0107232081724961,0.191
20,32,0.00962336558361689,0.18
20,34,0.00602101982058408,0.165
20,36,0.00262635817718352,0.148
20,38,0.000798690788942006,0.129
20,40,0.000169334021536524,0.108
22,0,0,0
22,2,0,0
22,4,0,0
22,6,0,0
22,8,0,0
22,10,0,0
22,12,0,0
22,14,0,0
22,16,0,0
22,18,0,0
22,20,0.000301577476528877,0.005
22,22,0.00164322497190549,0.03
22,24,0.0062421754943088,0.103
22,26,0.0165316326923592,0.166
22,28,0.0305236415724049,0.182
22,30,0.0392914239076949,0.178
22,32,0.0352614376669884,0.166
22,34,0.0220619089288959,0.15
22,36,0.00962336558361688,0.13
22,38,0.00292652141548294,0.109
22,40,0.000620464949962596,0.089
22,42,0.0000917114637099083,0.07
22,62,0,0
22,64,0,0
22,66,0,0
22,68,0,0
22,70,0,0
22,72,0,0
24,0,0,0
24,2,0,0
24,4,0,0
24,6,0,0
24,8,0,0
24,10,0,0
24,12,0,0
24,14,0,0
24,16,0,0
24,18,0.0000985724293126358,0
24,20,0.000770393763379809,0.003
24,22,0.00419769501607569,0.019
24,24,0.015945929139298,0.073
24,26,0.0422308286124935,0.139
24,28,0.0779740694619472,0.165
24,30,0.100371779355684,0.163
24,32,0.090076991090721,0.149
24,34,0.0563581778145402,0.131
24,36,0.0245833373024873,0.111
24,38,0.00747593577887648,0.09
24,40,0.0015850067231436,0.071
24,42,0.000234281221813267,0.054
24,44,0,0
24,58,0,0
24,60,0,0
24,62,0,0
24,64,0,0
24,66,0,0
24,68,0,0
24,70,0,0
24,72,0,0
24,74,0,0
26,0,0,0
26,2,0,0
26,4,0,0
26,6,0,0
26,8,0,0
26,10,0,0
26,12,0,0
26,14,0,0
26,16,0,0
26,18,0.000175553761835236,0
26,20,0.00137204210344437,0.002
26,22,0.00747593577887649,0.011
26,24,0.0283990956282846,0.047
26,26,0.0752115056922107,0.107
26,28,0.138868863384014,0.141
26,30,0.178758336087065,0.143
26,32,0.160423708242199,0.13
26,34,0.100371779355684,0.112
26,36,0.04378199230769,0.092
26,38,0.0133143583694976,0.073
26,40,0.0028228369202455,0.056
26,42,0.000417245979463773,0.041
26,44,0,0
26,56,0,0
26,58,0,0
26,60,0,0
26,62,0,0
26,64,0,0
26,66,0,0
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
28,0,0,0
28,2,0,0
28,4,0,0
