x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
40,18,Pass,56,26,3,0.001,0,0,0
40,18,Pass,56,28,3,0.001,0,0,0
40,18,Pass,56,30,3,0.001,0,0,0
40,18,Pass,54,22,4,0,0,0,0
40,18,Pass,54,24,4,0,0,0,0
40,18,Pass,54,26,4,0,0,0,0
40,18,Pass,54,28,3,0,0,0,0
40,18,Pass,54,30,3,0,0,0,0
40,18,Pass,54,32,3,0,0,0,0
40,18,Pass,54,34,3,0,0,0,0
40,18,Pass,52,20,3,0,0,0,0
40,18,Pass,52,22,3,0,0,0,0
40,18,Pass,52,24,4,0,0,0,0
40,18,Pass,52,26,4,0,0,0,0
40,18,Pass,52,28,3,0,0,0,0
40,18,Pass,52,30,3,0,0,0,0
40,18,Pass,52,32,3,0,0,0,0
40,18,Pass,52,34,2,0,0,0,0
40,18,Pass,52,36,2,0,0,0,0
40,18,Pass,52,38,1,0,0,0,0
40,18,Pass,50,18,3,0.001,0,0,0
40,18,Pass,50,20,3,0,0,0,0
40,18,Pass,50,22,3,0.001,0,0,0
40,18,Pass,50,24,3,0.001,0,0,0
40,18,Pass,50,26,3,0.001,0,0,0
40,18,Pass,50,28,3,0.001,0,0,0
40,18,Pass,50,30,2,0.001,0,0,0
40,18,Pass,50,32,2,0,0,0,0
40,18,Pass,50,34,2,0,0,0,0
40,18,Pass,50,36,2,0,0,0,0
40,18,Pass,50,38,2,0,0,0,0
40,18,Pass,48,16,3,0.001,0,0,0
40,18,Pass,48,18,3,0.001,0,0,0
40,18,Pass,48,20,3,0.001,0,0,0
40,18,Pass,48,22,3,0.001,0,0,0
40,18,Pass,48,24,3,0.002,0,0,0
40,18,Pass,48,26,3,0.003,0,0,0
40,18,Pass,48,28,3,0.003,0,0,0
40,18,Pass,48,30,2,0.002,0,0,0
40,18,Pass,48,32,2,0.001,0,0,0
40,18,Pass,48,34,2,0,0,0,0
40,18,Pass,48,36,2,0,0,0,0
40,18,Pass,48,38,2,0,0,0,0
40,18,Pass,48,40,1,0,0,0,0
40,18,Pass,46,16,3,0.001,0,0,0
40,18,Pass,46,18,3,0.001,0,0,0
40,18,Pass,46,20,3,0.001,0,0,0
40,18,Pass,46,22,3,0.002,0,0,0
40,18,Pass,46,24,3,0.004,0,0,0
40,18,Pass,46,26,3,0.005,0,0,0
40,18,Pass,46,28,2,0.005,0,0,0
40,18,Pass,46,30,2,0.003,0,0,0
40,18,Pass,46,32,2,0.002,0,0,0
40,18,Pass,46,34,2,0.001,0,0,0
40,18,Pass,46,36,2,0,0,0,0
40,18,Pass,46,38,2,0,0,0,0
40,18,Pass,46,40,1,0,0,0,0
40,18,Pass,44,16,3,0,0,0,0
40,18,Pass,44,18,3,0,0,0,0
40,18,Pass,44,20,3,0.001,0,0,0
40,18,Pass,44,22,3,0.003,0,0,0
40,18,Pass,44,24,3,0.005,0,0,0
40,18,Pass,44,26,3,0.006,0,0,0
40,18,Pass,44,28,2,0.006,0,0,0
40,18,Pass,44,30,2,0.004,0,0,0
40,18,Pass,44,32,2,0.002,0,0,0
40,18,Pass,44,34,2,0.001,0,0,0
40,18,Pass,44,36,2,0,0,0,0
40,18,Pass,44,38,2,0,0,0,0
40,18,Pass,44,40,1,0,0,0,0
40,18,Pass,42,16,3,0,0,0,0
40,18,Pass,42,18,3,0,0,0,0
40,18,Pass,42,20,3,0.001,0,0,0
40,18,Pass,42,22,3,0.002,0,0,0
40,18,Pass,42,24,3,0.004,0,0,0
40,18,Pass,42,26,3,0.005,0,0,0
40,18,Pass,42,28,2,0.005,0,0,0
40,18,Pass,42,30,2,0.004,0,0,0
40,18,Pass,42,32,2,0.002,0,0,0
40,18,Pass,42,34,2,0.001,0,0,0
40,18,Pass,42,36,2,0,0,0,0
40,18,Pass,42,38,2,0,0,0,0
40,18,Pass,42,40,1,0,0,0,0
40,18,Pass,40,16,3,0,0,0,0
40,18,Pass,40,18,3,0,0,0,0
40,18,Pass,40,20,3,0,0,0,0
40,18,Pass,40,22,3,0.001,0,0,0
40,18,Pass,40,24,3,0.002,0,0,0
40,18,Pass,40,26,2,0.003,0,0,0
40,18,Pass,40,28,2,0.003,0,0,0
40,18,Pass,40,30,2,0.002,0,0,0
40,18,Pass,40,32,2,0.001,0,0,0
40,18,Pass,40,34,2,0,0,0,0
40,18,Pass,40,36,2,0,0,0,0
40,18,Pass,40,38,2,0,0,0,0
40,18,Pass,40,40,1,0,0,0,0
40,18,Pass,38,16,3,0,0,0,0
40,18,Pass,38,18,3,0,0,0,0
40,18,Pass,38,20,3,0,0,0,0
40,18,Pass,38,22,3,0,0,0,0
40,18,Pass,38,24,2,0.001,0,0,0
40,18,Pass,38,26,2,0.001,0,0,0
40,18,Pass,38,28,2,0.001,0,0,0
40,18,Pass,38,30,2,0.001,0,0,0
40,18,Pass,38,32,2,0,0,0,0
40,18,Pass,38,34,2,0,0,0,0
40,18,Pass,38,36,2,0,0,0,0
40,18,Pass,38,38,2,0,0,0,0
40,18,Pass,38,40,1,0,0,0,0
40,18,Pass,36,18,3,0,0,0,0
40,18,Pass,36,20,3,0,0,0,0
40,18,Pass,36,22,2,0,0,0,0
40,18,Pass,36,24,2,0,0,0,0
40,18,Pass,36,26,2,0,0,0,0
40,18,Pass,36,28,2,0,0,0,0
40,18,Pass,36,30,2,0,0,0,0
40,18,Pass,36,32,2,0,0,0,0
40,18,Pass,36,34,2,0,0,0,0
40,18,Pass,36,36,2,0,0,0,0
40,18,Pass,36,38,1,0,0,0,0
40,18,Pass,34,20,2,0,0,0,0
40,18,Pass,34,22,2,0,0,0,0
40,18,Pass,34,24,2,0,0,0,0
40,18,Pass,34,26,2,0,0,0,0
40,18,Pass,34,28,2,0,0,0,0
40,18,Pass,34,30,2,0,0,0,0
40,18,Pass,34,32,2,0,0,0,0
40,18,Pass,34,34,2,0,0,0,0
40,18,Pass,34,36,1,0,0,0,0
40,18,Pass,32,22,2,0,0,0,0
40,18,Pass,32,24,2,0,0,0,0
40,18,Pass,32,26,2,0,0,0,0
40,18,Pass,32,28,2,0,0,0,0
40,18,Pass,32,30,2,0,0,0,0
40,18,Pass,32,32,1,0,0,0,0
40,18,Pass,32,34,1,0,0,0,0
40,18,Pass,30,26,1,0,0,0,0
40,18,Pass,30,28,1,0,0,0,0
40,18,Pass,30,30,1,0,0,0,0
40,18,Pass,60,10,1,0,0,0,0
40,18,Pass,60,12,1,0,0,0,0
40,18,Pass,60,14,1,0,0,0,0
40,18,Pass,60,16,2,0,0,0,0
40,18,Pass,60,18,2,0,0,0,0
40,18,Pass,60,20,2,0.001,0,0,0
40,18,Pass,58,6,1,0,0,0,0
40,18,Pass,58,8,1,0,0,0,0
40,18,Pass,58,10,1,0,0,0,0
40,18,Pass,58,12,1,0,0,0,0
40,18,Pass,58,14,1,0,0,0,0
40,18,Pass,58,16,2,0,0,0,0
40,18,Pass,58,18,2,0,0,0,0
40,18,Pass,58,20,2,0,0,0,0
40,18,Pass,58,22,2,0.001,0,0,0
40,18,Pass,56,4,1,0,0,0,0
40,18,Pass,56,6,1,0,0,0,0
40,18,Pass,56,8,1,0,0,0,0
40,18,Pass,56,10,1,0,0,0,0
40,18,Pass,56,12,1,0,0,0,0
40,18,Pass,56,14,1,0,0,0,0
40,18,Pass,56,16,1,0,0,0,0
40,18,Pass,56,18,2,0,0,0,0
40,18,Pass,56,20,2,0,0,0,0
40,18,Pass,56,22,3,0,0,0,0
40,18,Pass,56,24,3,0.001,0,0,0
40,18,Pass,54,4,1,0,0,0,0
40,18,Pass,54,6,1,0,0,0,0
40,18,Pass,54,8,1,0,0,0,0
40,18,Pass,54,10,1,0,0,0,0
40,18,Pass,54,12,1,0,0,0,0
40,18,Pass,54,14,1,0,0,0,0
40,18,Pass,54,16,1,0,0,0,0
40,18,Pass,54,18,2,0,0,0,0
40,18,Pass,54,20,3,0,0,0,0
40,18,Pass,52,4,1,0,0,0,0
40,18,Pass,52,6,1,0,0,0,0
40,18,Pass,52,8,1,0,0,0,0
40,18,Pass,52,10,1,0,0,0,0
40,18,Pass,52,12,1,0,0,0,0
40,18,Pass,52,14,1,0,0,0,0
40,18,Pass,52,16,2,0,0,0,0
40,18,Pass,52,18,2,0,0,0,0
40,18,Pass,50,2,1,0,0,0,0
40,18,Pass,50,4,1,0,0,0,0
40,18,Pass,50,6,1,0,0,0,0
40,18,Pass,50,8,1,0,0,0,0
40,18,Pass,50,10,1,0,0,0,0
40,18,Pass,50,12,1,0.001,0,0,0
40,18,Pass,50,14,1,0.001,0,0,0
40,18,Pass,50,16,2,0.001,0,0,0
40,18,Pass,48,2,1,0,0,0,0
40,18,Pass,48,4,1,0,0,0,0
40,18,Pass,48,6,1,0,0,0,0
40,18,Pass,48,8,1,0,0,0,0
40,18,Pass,48,10,1,0,0,0,0
40,18,Pass,48,12,1,0.001,0,0,0
40,18,Pass,48,14,2,0.001,0,0,0
40,18,Pass,46,2,1,0,0,0,0
40,18,Pass,46,4,1,0,0,0,0
40,18,Pass,46,6,1,0,0,0,0
40,18,Pass,46,8,1,0,0,0,0
40,18,Pass,46,10,1,0,0,0,0
40,18,Pass,46,12,1,0,0,0,0
40,18,Pass,46,14,2,0.001,0,0,0
40,18,Pass,44,4,1,0,0,0,0
40,18,Pass,44,6,1,0,0,0,0
40,18,Pass,44,8,1,0,0,0,0
40,18,Pass,44,10,1,0,0,0,0
40,18,Pass,44,12,1,0,0,0,0
40,18,Pass,44,14,2,0,0,0,0
40,18,Pass,42,4,1,0,0,0,0
40,18,Pass,42,6,1,0,0,0,0
40,18,Pass,42,8,1,0,0,0,0
40,18,Pass,42,10,1,0,0,0,0
40,18,Pass,42,12,1,0,0,0,0
40,18,Pass,42,14,2,0,0,0,0
40,18,Pass,40,6,1,0,0,0,0
40,18,Pass,40,8,1,0,0,0,0
40,18,Pass,40,10,1,0,0,0,0
40,18,Pass,40,12,1,0,0,0,0
40,18,Pass,40,14,2,0,0,0,0
40,18,Pass,38,8,1,0,0,0,0
40,18,Pass,38,10,1,0,0,0,0
40,18,Pass,38,12,1,0,0,0,0
40,18,Pass,38,14,1,0,0,0,0
40,18,Pass,36,10,1,0,0,0,0
40,18,Pass,36,12,1,0,0,0,0
40,18,Pass,36,14,1,0,0,0,0
40,18,Pass,36,16,2,0,0,0,0
40,18,Run,74,10,2,0,0,0,0
40,18,Run,74,12,2,0.001,0,0,0
40,18,Run,74,14,2,0.001,0,0,0
40,18,Run,74,16,2,0.001,0,0,0
40,18,Run,74,18,2,0.001,0,0,0
40,18,Run,72,6,2,0,0,0,0
40,18,Run,72,8,2,0.001,0,0,0
40,18,Run,72,10,2,0.003,0,0,0
40,18,Run,72,12,2,0.006,0,0,0
40,18,Run,72,14,2,0.007,0,0,0
40,18,Run,72,16,2,0.006,0,0,0
40,18,Run,72,18,2,0.003,0,0,0
40,18,Run,72,20,2,0.001,0,0,0
40,18,Run,72,22,2,0,0,0,0
40,18,Run,70,4,2,0,0,0,0
40,18,Run,70,6,2,0.002,0,0,0
40,18,Run,70,8,2,0.007,0,0,0
40,18,Run,70,10,2,0.018,0,0,0
40,18,Run,70,12,2,0.03,0,0,0
40,18,Run,70,14,2,0.036,0,0,0
40,18,Run,70,16,2,0.03,0,0,0
40,18,Run,70,18,2,0.017,0,0,0
40,18,Run,70,20,2,0.007,0,0,0
40,18,Run,70,22,2,0.002,0,0,0
40,18,Run,70,24,2,0,0,0,0
40,18,Run,68,4,2,0.002,0,0,0
40,18,Run,68,6,2,0.008,0,0,0
40,18,Run,68,8,2,0.027,0,0,0
40,18,Run,68,10,2,0.067,0,0,0
40,18,Run,68,12,2,0.113,0,0,0
40,18,Run,68,14,2,0.134,0,0,0
40,18,Run,68,16,2,0.11,0,0,0
40,18,Run,68,18,2,0.063,0,0,0
40,18,Run,68,20,2,0.025,0,0,0
40,18,Run,68,22,2,0.007,0,0,0
40,18,Run,68,24,2,0.001,0,0,0
40,18,Run,66,2,1,0.001,0,0,0
40,18,Run,66,4,2,0.004,0,0,0
40,18,Run,66,6,2,0.021,0,0,0
40,18,Run,66,8,2,0.072,0,0,0
40,18,Run,66,10,2,0.174,0,0,0
40,18,Run,66,12,2,0.295,0,0,0
40,18,Run,66,14,2,0.348,0,0,0
40,18,Run,66,16,2,0.286,0,0,0
40,18,Run,66,18,2,0.164,0,0,0
40,18,Run,66,20,2,0.066,0,0,0
40,18,Run,66,22,2,0.018,0,0,0
40,18,Run,66,24,2,0.004,0,0,0
40,18,Run,66,26,2,0,0,0,0
40,18,Run,64,2,1,0.001,0,0,0
40,18,Run,64,4,1,0.007,0,0,0
40,18,Run,64,6,2,0.037,0,0,0
40,18,Run,64,8,2,0.13,0,0,0
40,18,Run,64,10,2,0.317,0,0,0
40,18,Run,64,12,2,0.536,0,0,0
40,18,Run,64,14,2,0.633,0,0,0
40,18,Run,64,16,2,0.521,0,0,0
40,18,Run,64,18,2,0.299,0,0,0
40,18,Run,64,20,2,0.12,0,0,0
40,18,Run,64,22,2,0.033,0,0,0
40,18,Run,64,24,2,0.006,0,0,0
40,18,Run,64,26,2,0.001,0,0,0
40,18,Run,62,2,1,0.001,0,0,0
40,18,Run,62,4,1,0.009,0,0,0
40,18,Run,62,6,2,0.047,0,0,0
40,18,Run,62,8,2,0.165,0,0,0
40,18,Run,62,10,2,0.402,0,0,0
40,18,Run,62,12,2,0.68,0,0,0
40,18,Run,62,14,2,0.803,0,0,0
40,18,Run,62,16,2,0.661,0,0,0
40,18,Run,62,18,2,0.379,0,0,0
40,18,Run,62,20,2,0.152,0,0,0
40,18,Run,62,22,2,0.042,0,0,0
40,18,Run,62,24,2,0.008,0,0,0
40,18,Run,62,26,2,0.001,0,0,0
40,18,Run,60,2,1,0.001,0,0,0
40,18,Run,60,4,1,0.008,0,0,0
40,18,Run,60,6,1,0.042,0,0,0
40,18,Run,60,8,2,0.146,0,0,0
40,18,Run,60,10,2,0.355,0,0,0
40,18,Run,60,12,2,0.602,0,0,0
40,18,Run,60,14,2,0.71,0,0,0
40,18,Run,60,16,2,0.584,0,0,0
40,18,Run,60,18,2,0.335,0,0,0
40,18,Run,60,20,2,0.134,0,0,0
40,18,Run,60,22,2,0.037,0,0,0
40,18,Run,60,24,2,0.007,0,0,0
40,18,Run,60,26,1,0.001,0,0,0
40,18,Run,58,2,1,0.001,0,0,0
40,18,Run,58,4,1,0.005,0,0,0
40,18,Run,58,6,1,0.026,0,0,0
40,18,Run,58,8,1,0.09,0,0,0
40,18,Run,58,10,2,0.219,0,0,0
40,18,Run,58,12,2,0.371,0,0,0
40,18,Run,58,14,2,0.438,0,0,0
40,18,Run,58,16,2,0.36,0,0,0
40,18,Run,58,18,2,0.207,0,0,0
40,18,Run,58,20,2,0.083,0,0,0
40,18,Run,58,22,2,0.023,0,0,0
40,18,Run,58,24,1,0.004,0,0,0
40,18,Run,58,26,1,0.001,0,0,0
40,18,Run,56,2,1,0,0,0,0
40,18,Run,56,4,1,0.002,0,0,0
40,18,Run,56,6,1,0.011,0,0,0
40,18,Run,56,8,1,0.039,0,0,0
40,18,Run,56,10,1,0.094,0,0,0
40,18,Run,56,12,1,0.16,0,0,0
40,18,Run,56,14,1,0.188,0,0,0
40,18,Run,56,16,1,0.155,0,0,0
40,18,Run,56,18,1,0.089,0,0,0
40,18,Run,56,20,1,0.036,0,0,0
40,18,Run,56,22,1,0.01,0,0,0
40,18,Run,56,24,1,0.002,0,0,0
40,18,Run,54,4,1,0.001,0,0,0
40,18,Run,54,6,1,0.003,0,0,0
40,18,Run,54,8,1,0.012,0,0,0
40,18,Run,54,10,1,0.028,0,0,0
40,18,Run,54,12,1,0.048,0,0,0
40,18,Run,54,14,1,0.056,0,0,0
40,18,Run,54,16,1,0.046,0,0,0
40,18,Run,54,18,1,0.027,0,0,0
40,18,Run,54,20,1,0.011,0,0,0
40,18,Run,54,22,1,0.003,0,0,0
40,18,Run,54,24,1,0.001,0,0,0
40,18,Run,52,6,1,0.001,0,0,0
40,18,Run,52,8,1,0.002,0,0,0
40,18,Run,52,10,1,0.006,0,0,0
40,18,Run,52,12,1,0.01,0,0,0
40,18,Run,52,14,1,0.012,0,0,0
40,18,Run,52,16,1,0.01,0,0,0
40,18,Run,52,18,1,0.006,0,0,0
40,18,Run,52,20,1,0.002,0,0,0
40,18,Run,52,22,1,0.001,0,0,0
40,18,Run,50,8,1,0,0,0,0
40,18,Run,50,10,1,0.001,0,0,0
40,18,Run,50,12,1,0.001,0,0,0
40,18,Run,50,14,1,0.002,0,0,0
40,18,Run,50,16,1,0.001,0,0,0
40,18,Run,50,18,1,0.001,0,0,0
40,18,Run,50,20,1,0,0,0,0
40,18,Run,82,12,1,0,0,0,0
40,18,Run,82,14,1,0,0,0,0
40,18,Run,82,16,1,0,0,0,0
40,18,Run,82,18,1,0,0,0,0
40,18,Run,82,20,1,0,0,0,0
40,18,Run,80,8,1,0,0,0,0
40,18,Run,80,10,1,0,0,0,0
40,18,Run,80,12,1,0,0,0,0
40,18,Run,80,14,1,0,0,0,0
40,18,Run,80,16,1,0,0,0,0
40,18,Run,80,18,1,0,0,0,0
40,18,Run,80,20,1,0,0,0,0
40,18,Run,80,22,1,0,0,0,0
40,18,Run,80,24,1,0,0,0,0
40,18,Run,78,6,1,0,0,0,0
40,18,Run,78,8,1,0,0,0,0
40,18,Run,78,10,1,0,0,0,0
40,18,Run,78,12,1,0,0,0,0
40,18,Run,78,14,1,0,0,0,0
40,18,Run,78,16,1,0,0,0,0
40,18,Run,78,18,1,0,0,0,0
40,18,Run,78,20,1,0,0,0,0
40,18,Run,78,22,1,0,0,0,0
40,18,Run,78,24,1,0,0,0,0
