x,y,WeightedExpectedGoals,GoalProbability
0,0,0.000914786411633552,0.01
0,2,0.00130270384978027,0.007
0,4,0.00129333941505719,0.004
0,6,0.000895200166716343,0.002
0,8,0.000431984953907129,0.001
0,10,0.000145330882755494,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
2,0,0.0055943388007653,0.016
2,2,0.00796663199196212,0.012
2,4,0.00790936417528678,0.008
2,6,0.00547455992286749,0.004
2,8,0.00264178627738246,0.002
2,10,0.000888765055983606,0.001
2,12,0.000208457289598868,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0238516621175546,0.026
4,2,0.0339660183722135,0.021
4,4,0.0337218550023863,0.015
4,6,0.0233409806185993,0.008
4,8,0.0112633495966134,0.004
4,10,0.00378928137393296,0.001
4,12,0.000888765055983606,0
4,14,0.000145330882755495,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.070897244722548,0.036
6,2,0.100961396523098,0.032
6,4,0.100235639546598,0.024
6,6,0.0693792829541703,0.015
6,8,0.0334794467912153,0.007
6,10,0.0112633495966134,0.003
6,12,0.00264178627738246,0.001
6,14,0.000431984953907129,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.146919990433276,0.045
8,2,0.209221775392721,0.041
8,4,0.207717792995923,0.033
8,6,0.143774326178467,0.021
8,8,0.0693792829541703,0.011
8,10,0.0233409806185993,0.004
8,12,0.00547455992286749,0.001
8,14,0.000895200166716343,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.212262487823453,0.05
10,2,0.302272920252249,0.046
10,4,0.300100043407883,0.038
10,6,0.207717792995923,0.025
10,8,0.100235639546598,0.013
10,10,0.0337218550023863,0.005
10,12,0.00790936417528678,0.002
10,14,0.00129333941505719,0
10,16,0.000147443040636453,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0,0
10,50,0,0
10,52,0,0
10,54,0,0
10,56,0,0
10,58,0,0
10,60,0,0
10,62,0,0
10,64,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.213799376120708,0.046
12,2,0.304461529829364,0.042
12,4,0.302272920252249,0.034
12,6,0.209221775392721,0.022
12,8,0.100961396523098,0.011
12,10,0.0339660183722135,0.004
12,12,0.00796663199196212,0.001
12,14,0.00130270384978027,0
12,16,0.000148510603190673,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
12,48,0,0
12,50,0,0
12,52,0,0
12,54,0,0
12,56,0,0
12,58,0,0
12,60,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
12,80,0,0
14,0,0.150134479240193,0.035
14,2,0.213799376120708,0.031
14,4,0.212262487823453,0.024
14,6,0.146919990433275,0.015
14,8,0.0708972447225479,0.008
14,10,0.0238516621175546,0.003
14,12,0.0055943388007653,0.001
14,14,0.000914786411633552,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,44,0,0
14,46,0,0
14,48,0,0
14,50,0,0
14,52,0,0
14,54,0,0
14,56,0,0
14,58,0,0
14,60,0,0
14,62,0,0
14,64,0,0
14,66,0,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,0,0.0735318783179344,0.02
16,2,0.104743931454109,0.017
16,4,0.104042930317839,0.012
16,6,0.0720758666568111,0.008
16,8,0.0348311704831003,0.004
16,10,0.0117470622765832,0.001
16,12,0.00276682356527514,0
16,14,0.000447852020677721,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0.0000554022674476457,0
16,30,0.0000673168048147993,0
16,32,0.0000570243407901593,0
16,34,0,0
16,36,0,0
16,38,0,0
16,40,0,0
16,42,0,0
16,44,0,0
16,46,0,0
16,48,0,0
16,50,0,0
16,52,0,0
16,54,0,0
16,56,0,0
16,58,0,0
16,60,0,0
16,62,0,0
16,64,0,0
16,66,0,0
16,68,0,0
16,70,0,0
16,72,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,0,0.0253028489565337,0.007
18,2,0.0362493181232289,0.006
18,4,0.0363557265313146,0.004
18,6,0.0255972691859412,0.003
18,8,0.012708683244108,0.001
18,10,0.0044801077202705,0.001
18,12,0.00113263276180496,0
18,14,0.00020803114390959,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0,0
18,24,0.000109155792928484,0
18,26,0.000272873331831869,0
18,28,0.000475571941450275,0
18,30,0.000577846088849271,0
18,32,0.000489495786163001,0
18,34,0.000289085668383108,0
18,36,0.000119026863844873,0
18,38,0,0
18,40,0,0
18,42,0,0
18,44,0,0
18,46,0,0
18,48,0,0
18,50,0,0
18,52,0,0
18,54,0,0
18,56,0,0
18,58,0,0
18,60,0,0
18,62,0,0
18,64,0,0
18,66,0,0
18,68,0,0
18,70,0,0
18,72,0,0
18,74,0,0
18,76,0,0
18,78,0,0
18,80,0,0
20,0,0.00703212616789323,0.002
20,2,0.0110815965132624,0.002
20,4,0.0128094526440414,0.001
20,6,0.0109999728124484,0.001
20,8,0.0070642124553924,0.001
20,10,0.00343564661921724,0
20,12,0.00131822578681841,0
20,14,0.000471459409494585,0
20,16,0.000281894438594258,0
20,18,0.000183155177612764,0
20,20,0.000102101315210934,0
20,22,0.000182180889225452,0
20,24,0.000653245305915719,0
20,26,0.00163301661182139,0
20,28,0.00284607101504137,0.001
20,30,0.00345813295799935,0.001
20,32,0.00292939857792067,0.001
20,34,0.00173003970574881,0.001
20,36,0.000712318952558701,0
20,38,0.000204471956979039,0
20,40,0,0
20,42,0,0
20,44,0,0
20,46,0,0
20,48,0,0
20,50,0,0
20,52,0,0
20,54,0,0
20,56,0,0
20,58,0,0
20,60,0,0
20,62,0,0
20,64,0,0
20,66,0,0
20,68,0,0
20,70,0,0
20,72,0,0
20,74,0,0
20,76,0,0
20,78,0,0
20,80,0,0
22,0,0.00463873499921363,0.001
22,2,0.0102713092008314,0.001
22,4,0.0164041130513841,0.002
22,6,0.0186811910823018,0.002
22,8,0.0151514434806545,0.001
22,10,0.00888226747201262,0.001
22,12,0.00419733261852885,0.001
22,14,0.00237752744514165,0
22,16,0.0019086586610421,0
22,18,0.00151722263169758,0
22,20,0.00117656268869711,0
22,22,0.00133141470056742,0
22,24,0.00299233822218161,0.001
22,26,0.00690054623646056,0.002
22,28,0.0118745200759293,0.003
22,30,0.0144281955783873,0.003
22,32,0.0122221835084506,0.003
22,34,0.00721815833459466,0.002
22,36,0.00297197282074857,0.001
22,38,0.000853108142867919,0
22,40,0.000170727769322777,0
22,42,0,0
22,44,0,0
22,46,0,0
22,48,0,0
22,50,0,0
22,52,0,0
22,54,0,0
22,56,0,0
22,58,0,0
22,60,0,0
22,62,0,0
22,64,0,0
22,66,0,0
22,68,0,0
22,70,0,0
