x,y,WeightedExpectedGoals,GoalProbability
0,4,0,0
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
2,2,0,0
2,4,0,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
4,2,0,0
4,4,0,0
4,6,0,0
4,8,0,0
4,10,0,0
4,12,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
6,2,0,0
6,4,0,0
6,6,0,0
6,8,0,0
6,10,0,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
8,0,0,0
8,2,0,0
8,4,0,0
8,6,0,0
8,8,0,0
8,10,0,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
10,0,0,0
10,2,0,0
10,4,0,0
10,6,0,0
10,8,0,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,44,0,0
14,46,0,0
14,48,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0.0000554022674476457,0.007
16,30,0.0000673168048147993,0.002
16,32,0.0000570243407901593,0.001
16,34,0,0
16,36,0,0
16,38,0,0
16,40,0,0
16,42,0,0
16,44,0,0
16,46,0,0
16,48,0,0
18,0,0,0
18,2,0,0
18,4,0,0
18,6,0,0
18,8,0,0
18,10,0,0
18,12,0,0
18,14,0,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0,0
18,24,0.000109155792928484,0.053
18,26,0.000272873331831869,0.051
18,28,0.000475571941450275,0.022
18,30,0.000577846088849271,0.007
18,32,0.000489495786163001,0.002
18,34,0.000289085668383108,0.001
18,36,0.000119026863844873,0
18,38,0,0
18,40,0,0
18,42,0,0
18,44,0,0
18,46,0,0
18,48,0,0
20,0,0,0
20,2,0,0
20,4,0,0
20,6,0,0
20,8,0,0
20,10,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,18,0,0
20,20,0,0
20,22,0.000182180889225452,0.021
20,24,0.000653245305915719,0.09
20,26,0.00163301661182139,0.083
20,28,0.00284607101504137,0.053
20,30,0.00345813295799935,0.024
20,32,0.00292939857792067,0.008
20,34,0.00173003970574881,0.002
20,36,0.000712318952558701,0.001
20,38,0.000204471956979039,0
20,40,0,0
20,42,0,0
20,44,0,0
20,46,0,0
20,48,0,0
20,50,0,0
22,0,0,0
22,2,0,0
22,4,0,0
22,6,0,0
22,8,0,0
22,10,0,0
22,12,0,0
22,14,0,0
22,16,0,0
22,18,0,0
22,20,0.000147788450558368,0.004
22,22,0.000760104233213184,0.052
22,24,0.0027255027926596,0.097
22,26,0.00681335372129402,0.096
22,28,0.0118745200759293,0.082
22,30,0.0144281955783873,0.055
22,32,0.0122221835084506,0.025
22,34,0.00721815833459466,0.009
22,36,0.00297197282074857,0.003
22,38,0.000853108142867919,0.001
22,40,0.000170727769322777,0
22,42,0,0
22,44,0,0
22,46,0,0
22,48,0,0
22,50,0,0
24,0,0,0
24,2,0,0
24,4,0,0
24,6,0,0
24,8,0,0
24,10,0,0
24,12,0,0
24,14,0,0
24,16,0,0
24,18,0.0000582719865642385,0
24,20,0.000429884369404218,0.007
24,22,0.00221097743255165,0.058
24,24,0.00792789318045641,0.095
24,26,0.0198185599547212,0.097
24,28,0.0345403890191172,0.093
24,30,0.0419684740886171,0.081
24,32,0.0355516661174942,0.056
24,34,0.0209960482852584,0.027
24,36,0.00864482073603844,0.009
24,38,0.00248150552120132,0.003
24,40,0.000496609844529933,0.001
24,42,0.0000692877132202444,0
24,44,0,0
24,46,0,0
24,48,0,0
24,50,0,0
24,52,0,0
24,54,0,0
24,56,0,0
26,0,0,0
26,2,0,0
26,4,0,0
26,6,0,0
26,8,0,0
26,10,0,0
26,12,0,0
26,14,0,0
26,16,0,0
26,18,0.000118171243976278,0
26,20,0.000871773448850121,0.006
26,22,0.0044836973821045,0.051
26,24,0.0160771762639808,0.087
26,26,0.0401905619106715,0.091
26,28,0.0700453335894777,0.09
26,30,0.0851089362702745,0.087
26,32,0.0720961281438763,0.078
26,34,0.0425784204511341,0.055
26,36,0.0175310518923774,0.028
26,38,0.00503230817523432,0.01
26,40,0.00100708773733455,0.003
26,42,0.000140510316298925,0.001
26,44,0,0
26,46,0,0
26,48,0,0
26,50,0,0
26,52,0,0
26,54,0,0
26,56,0,0
26,58,0,0
28,2,0,0
28,4,0,0
28,6,0,0
28,8,0,0
28,10,0,0
28,12,0,0
28,14,0,0
28,16,0,0
28,18,0.000167072363140964,0
28,20,0.00123252701183527,0.005
28,22,0.00633912187120185,0.041
28,24,0.0227301646379918,0.072
28,26,0.0568220484818374,0.076
28,28,0.0990311941891753,0.077
28,30,0.120328352555406,0.077
28,32,0.101930639781783,0.076
28,34,0.0601980404387429,0.069
28,36,0.0247856768656369,0.052
28,38,0.00711475643819716,0.028
28,40,0.00142383648090009,0.011
28,42,0.00019865569490373,0.003
28,44,0,0
28,46,0,0
28,48,0,0
28,50,0,0
28,52,0,0
28,54,0,0
28,56,0,0
28,58,0,0
28,60,0,0
30,2,0,0
30,4,0,0
30,6,0,0
30,8,0,0
30,10,0,0
30,12,0,0
30,14,0,0
30,16,0,0
30,18,0.000164679010379278,0
30,20,0.00128768200824758,0.003
30,22,0.006353506357982,0.027
30,24,0.0225105050568694,0.049
30,26,0.0560824629386222,0.053
30,28,0.0976489740513546,0.056
30,30,0.118604619261141,0.057
30,32,0.100470458255433,0.058
30,34,0.0593356886791608,0.058
30,36,0.0244306159383752,0.055
30,38,0.00701283579943948,0.045
30,40,0.00140343967253702,0.025
30,42,0.000195809903133721,0.006
30,44,0,0
30,46,0,0
30,48,0,0
30,50,0,0
30,52,0,0
30,54,0,0
30,56,0,0
30,58,0,0
30,60,0,0
30,62,0,0
32,0,0,0
32,2,0,0
32,4,0,0
32,6,0,0
32,8,0,0
32,10,0,0
32,12,0,0
32,14,0,0
32,16,0.0000917192207044305,0
32,18,0.000385793532120392,0
32,20,0.00139980884737248,0.003
32,22,0.00510998884671128,0.016
32,24,0.0162182426630881,0.026
32,26,0.0390652948719662,0.029
32,28,0.0673606424539555,0.032
32,30,0.0815999330154696,0.034
32,32,0.0690419169295473,0.036
32,34,0.0407746690905791,0.037
32,36,0.0167883832267061,0.038
32,38,0.00481912429895059,0.037
32,40,0.000964424438481076,0.024
32,42,0.000134557872044045,0.003
32,44,0,0
32,46,0,0
32,48,0,0
32,50,0,0
32,52,0,0
32,54,0,0
32,56,0,0
32,58,0,0
32,60,0,0
32,62,0,0
34,0,0,0
34,2,0,0
34,4,0,0
34,6,0,0
34,8,0,0
34,10,0,0
34,12,0,0
34,14,0.000116373852506862,0
34,16,0.000496164052297313,0
34,18,0.001529025830956,0.002
34,20,0.00345620358842147,0.007
34,22,0.00647258620928492,0.012
34,24,0.0118235562646217,0.013
34,26,0.0215622315567655,0.014
34,28,0.033665244643542,0.015
34,30,0.0395691944128286,0.016
34,32,0.0332013338001016,0.018
34,34,0.0195346542008997,0.019
34,36,0.00804311275211947,0.02
34,38,0.00230878456725241,0.02
34,40,0.000462044164399548,0.009
34,42,0.0000644650602694078,0.001
34,44,0,0
34,46,0,0
34,48,0,0
34,50,0,0
34,52,0,0
34,54,0,0
34,56,0,0
34,58,0,0
34,60,0,0
34,62,0,0
34,64,0,0
34,74,0,0
34,76,0,0
34,78,0,0
34,80,0,0
36,0,0,0
36,2,0,0
36,4,0,0
36,6,0,0
36,8,0,0
36,10,0,0
